route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
80,N05,"GARE CENTRALE - KRAAINEM",,3,,A67CB0,000000
79,N06,"GARE CENTRALE - MUSEE DU TRAM",,3,,169FDB,000000
82,N08,"GARE CENTRALE - WIENER",,3,,91BEE7,000000
81,N09,"GARE CENTRALE - HERRMANN-DEBROUX",,3,,C44F97,000000
83,N10,"GARE CENTRALE - FORT-JACO",,3,,C1D66B,000000
85,N11,"GARE CENTRALE - HOMBORCH",,3,,9B6018,000000
84,N12,"GARE CENTRALE - STALLE P",,3,,ED7807,000000
86,N13,"GARE CENTRALE - WESTLAND SHOPPING",,3,,A12944,000000
92,N16,"GARE CENTRALE - BERCHEM STATION",,3,,80C29C,FFFFFF
87,N16,"GARE CENTRALE - GARE DE BERCHEM",,3,,74C095,000000
88,N18,"GARE CENTRALE - HEYSEL",,3,,23A845,000000
