"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"27";113366429237616000;"23:43:00";"23:43:00";"1262B";1;0;1
"27";113366429237616000;"23:43:21";"23:43:21";"1132";2;0;0
"27";113366429237616000;"23:44:42";"23:44:42";"1133";3;0;0
"27";113366429237616000;"23:47:00";"23:47:00";"1134";4;0;0
"27";113366429237616000;"23:48:31";"23:48:31";"1135";5;0;0
"27";113366429237616000;"23:50:00";"23:50:00";"1136";6;0;0
"27";113366429237616000;"23:52:00";"23:52:00";"2283";7;0;0
"27";113366429237616000;"23:52:42";"23:52:42";"1113";8;0;0
"27";113366429237616000;"23:54:00";"23:54:00";"1139";9;0;0
"27";113366429237616000;"23:55:33";"23:55:33";"1140";10;0;0
"27";113366429237616000;"23:57:00";"23:57:00";"1141";11;0;0
"27";113366429237616000;"23:57:53";"23:57:53";"1138";12;0;0
"27";113366429237616000;"23:58:46";"23:58:46";"1522";13;0;0
"27";113366429237616000;"23:59:29";"23:59:29";"3899";14;0;0
"27";113366429237616000;"24:00:13";"24:00:13";"3900";15;0;0
"27";113366429237616000;"24:02:00";"24:02:00";"2430";16;0;0
"27";113366429237616000;"24:02:47";"24:02:47";"3920";17;0;0
"27";113366429237616000;"24:03:59";"24:03:59";"3902";18;0;0
"27";113366429237616000;"24:04:46";"24:04:46";"3903";19;0;0
"27";113366429237616000;"24:05:00";"24:05:00";"2429";20;0;0
"27";113366430237616000;"23:23:00";"23:23:00";"1262B";1;0;1
"27";113366430237616000;"23:23:21";"23:23:21";"1132";2;0;0
"27";113366430237616000;"23:24:42";"23:24:42";"1133";3;0;0
"27";113366430237616000;"23:27:00";"23:27:00";"1134";4;0;0
"27";113366430237616000;"23:28:31";"23:28:31";"1135";5;0;0
"27";113366430237616000;"23:30:00";"23:30:00";"1136";6;0;0
"27";113366430237616000;"23:32:00";"23:32:00";"2283";7;0;0
"27";113366430237616000;"23:32:42";"23:32:42";"1113";8;0;0
"27";113366430237616000;"23:34:00";"23:34:00";"1139";9;0;0
"27";113366430237616000;"23:35:33";"23:35:33";"1140";10;0;0
"27";113366430237616000;"23:37:00";"23:37:00";"1141";11;0;0
"27";113366430237616000;"23:37:53";"23:37:53";"1138";12;0;0
"27";113366430237616000;"23:38:46";"23:38:46";"1522";13;0;0
"27";113366430237616000;"23:39:29";"23:39:29";"3899";14;0;0
"27";113366430237616000;"23:40:13";"23:40:13";"3900";15;0;0
"27";113366430237616000;"23:42:00";"23:42:00";"2430";16;0;0
"27";113366430237616000;"23:42:47";"23:42:47";"3920";17;0;0
"27";113366430237616000;"23:43:59";"23:43:59";"3902";18;0;0
"27";113366430237616000;"23:44:46";"23:44:46";"3903";19;0;0
