"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"98";113354575237586496;"15:12:00";"15:12:00";"2384";1;0;0
"98";113354575237586496;"15:17:36";"15:17:36";"3810";2;0;0
"98";113354575237586496;"15:18:26";"15:18:26";"3814";3;0;0
"98";113354575237586496;"15:20:05";"15:20:05";"5963";4;0;0
"98";113354575237586496;"15:22:28";"15:22:28";"9649B";5;0;0
"98";113354575237586496;"15:24:04";"15:24:04";"2660";6;0;0
"98";113354575237586496;"15:25:14";"15:25:14";"5923";7;0;0
"98";113354575237586496;"15:26:00";"15:26:00";"5921B";8;0;0
"98";113354575237586496;"15:26:44";"15:26:44";"5916";9;0;0
"98";113354575237586496;"15:27:53";"15:27:53";"5917";10;0;0
"98";113354575237586496;"15:30:00";"15:30:00";"1985B";11;0;0
"98";113354575237586496;"15:32:28";"15:32:28";"5058";12;0;0
"98";113354575237586496;"15:33:00";"15:33:00";"1951";13;0;0
