"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"T51";113559716238532496;"22:16:00";"22:16:00";"3053";1;0;0
"T51";113559716238532496;"22:17:00";"22:17:00";"7355";2;0;0
"T51";113559716238532496;"22:19:21";"22:19:21";"7356";3;0;0
"T51";113559716238532496;"22:20:59";"22:20:59";"2436";4;0;0
"T51";113559716238532496;"22:22:36";"22:22:36";"7718";5;0;0
"T51";113559716238532496;"22:25:00";"22:25:00";"1183";6;0;0
"T51";113559716238532496;"22:29:00";"22:29:00";"7452";7;0;0
"T51";113559717238532496;"21:31:00";"21:31:00";"3053";1;0;0
"T51";113559717238532496;"21:32:00";"21:32:00";"7355";2;0;0
"T51";113559717238532496;"21:34:21";"21:34:21";"7356";3;0;0
"T51";113559717238532496;"21:35:59";"21:35:59";"2436";4;0;0
"T51";113559717238532496;"21:37:36";"21:37:36";"7718";5;0;0
"T51";113559717238532496;"21:40:00";"21:40:00";"1183";6;0;0
"T51";113559717238532496;"21:44:00";"21:44:00";"7452";7;0;0
"T51";113559718238532496;"19:43:00";"19:43:00";"3053";1;0;0
"T51";113559718238532496;"19:44:00";"19:44:00";"7355";2;0;0
"T51";113559718238532496;"19:46:39";"19:46:39";"7356";3;0;0
"T51";113559718238532496;"19:48:29";"19:48:29";"2436";4;0;0
"T51";113559718238532496;"19:50:18";"19:50:18";"7718";5;0;0
"T51";113559718238532496;"19:53:00";"19:53:00";"1183";6;0;0
"T51";113559718238532496;"19:58:00";"19:58:00";"7452";7;0;0
"T51";113559719238532496;"23:01:00";"23:01:00";"3053";1;0;0
"T51";113559719238532496;"23:02:00";"23:02:00";"7355";2;0;0
"T51";113559719238532496;"23:04:21";"23:04:21";"7356";3;0;0
"T51";113559719238532496;"23:05:59";"23:05:59";"2436";4;0;0
"T51";113559719238532496;"23:07:36";"23:07:36";"7718";5;0;0
"T51";113559719238532496;"23:10:00";"23:10:00";"1183";6;0;0
"T51";113559719238532496;"23:14:00";"23:14:00";"7452";7;0;0
"T51";113559720238532496;"18:55:00";"18:55:00";"3053";1;0;0
"T51";113559720238532496;"18:56:00";"18:56:00";"7355";2;0;0
"T51";113559720238532496;"18:58:39";"18:58:39";"7356";3;0;0
"T51";113559720238532496;"19:00:29";"19:00:29";"2436";4;0;0
