"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"N08";113359093237604496;"24:47:00";"24:47:00";"4351";1;0;1
"N08";113359093237604496;"24:48:08";"24:48:08";"4348";2;0;0
"N08";113359093237604496;"24:49:09";"24:49:09";"4355";3;0;0
"N08";113359093237604496;"24:49:49";"24:49:49";"1455";4;0;0
"N08";113359093237604496;"24:50:37";"24:50:37";"4357";5;0;0
"N08";113359093237604496;"24:52:00";"24:52:00";"4358";6;0;0
"N08";113359093237604496;"24:53:33";"24:53:33";"4359";7;0;0
"N08";113359093237604496;"24:54:35";"24:54:35";"4360";8;0;0
"N08";113359093237604496;"24:56:04";"24:56:04";"3514";9;0;0
"N08";113359093237604496;"24:56:45";"24:56:45";"4362";10;0;0
"N08";113359093237604496;"24:58:23";"24:58:23";"4363";11;0;0
"N08";113359093237604496;"24:59:23";"24:59:23";"4364";12;0;0
"N08";113359093237604496;"25:00:41";"25:00:41";"4365";13;0;0
"N08";113359093237604496;"25:01:24";"25:01:24";"4366";14;0;0
"N08";113359093237604496;"25:03:00";"25:03:00";"1981";15;0;0
"N08";113359093237604496;"25:04:59";"25:04:59";"1983";16;0;0
"N08";113359093237604496;"25:06:00";"25:06:00";"3623B";17;0;0
"N08";113359093237604496;"25:06:39";"25:06:39";"2682";18;0;0
"N08";113359093237604496;"25:09:00";"25:09:00";"2177";19;0;0
"N08";113359093237604496;"25:10:56";"25:10:56";"6353";20;0;0
"N08";113359093237604496;"25:13:04";"25:13:04";"3567";21;0;0
"N08";113359093237604496;"25:16:00";"25:16:00";"6443";22;0;0
"N08";113359094237604496;"26:27:00";"26:27:00";"4351";1;0;1
"N08";113359094237604496;"26:28:08";"26:28:08";"4348";2;0;0
"N08";113359094237604496;"26:29:09";"26:29:09";"4355";3;0;0
"N08";113359094237604496;"26:29:49";"26:29:49";"1455";4;0;0
"N08";113359094237604496;"26:30:37";"26:30:37";"4357";5;0;0
"N08";113359094237604496;"26:32:00";"26:32:00";"4358";6;0;0
"N08";113359094237604496;"26:33:33";"26:33:33";"4359";7;0;0
"N08";113359094237604496;"26:34:35";"26:34:35";"4360";8;0;0
"N08";113359094237604496;"26:36:04";"26:36:04";"3514";9;0;0
"N08";113359094237604496;"26:36:45";"26:36:45";"4362";10;0;0
"N08";113359094237604496;"26:38:23";"26:38:23";"4363";11;0;0
"N08";113359094237604496;"26:39:23";"26:39:23";"4364";12;0;0
"N08";113359094237604496;"26:40:41";"26:40:41";"4365";13;0;0
"N08";113359094237604496;"26:41:24";"26:41:24";"4366";14;0;0
"N08";113359094237604496;"26:43:00";"26:43:00";"1981";15;0;0
"N08";113359094237604496;"26:44:59";"26:44:59";"1983";16;0;0
"N08";113359094237604496;"26:46:00";"26:46:00";"3623B";17;0;0
"N08";113359094237604496;"26:46:39";"26:46:39";"2682";18;0;0
"N08";113359094237604496;"26:49:00";"26:49:00";"2177";19;0;0
"N08";113359094237604496;"26:50:56";"26:50:56";"6353";20;0;0
"N08";113359094237604496;"26:53:04";"26:53:04";"3567";21;0;0
"N08";113359094237604496;"26:56:00";"26:56:00";"6443";22;0;0
