"LineID";"DirectionID";"DistanceFromPoint";"PointID ";"Time"
86;3234;49;6706;04:53:16
86;2558;0;3234;04:53:16
86;3234;0;3347;04:53:16
86;3234;40;1350;04:53:16
86;2558;46;3253;04:53:16
86;3225;118;6706;04:53:16
86;2558;0;2558;04:53:16
86;3234;3;3226;04:53:16
86;3234;0;2558;04:53:16
86;2558;4;6755;04:53:16
86;2558;0;3234;22:27:18
86;3234;0;3347;22:27:18
86;3234;40;1350;22:27:18
86;2558;132;3257;22:27:18
86;3225;0;4594;22:27:18
86;3234;0;2558;22:27:18
86;3234;3;3226;22:27:18
86;3234;137;2558;22:27:18
86;2558;122;6755;22:27:18
86;2558;0;3234;07:14:39
86;2558;189;3257;07:14:39
86;3225;0;4594;07:14:39
86;3234;0;2558;07:14:39
86;3234;270;2558;07:14:39
86;2558;122;6755;07:14:39
86;2558;0;3234;16:10:41
86;3234;104;4594;16:10:41
86;2558;78;3234;16:10:41
86;3234;85;4213;16:10:41
86;2558;189;3257;16:10:41
86;3225;132;4594;16:10:41
86;3234;0;2558;16:10:41
86;3234;0;4267;16:10:41
86;2558;122;6755;16:10:41
86;2558;0;3234;01:12:30
86;3234;0;3225;01:12:30
86;2558;78;3234;01:12:30
86;3234;85;4213;01:12:30
86;2558;189;3257;01:12:30
86;3225;187;4594;01:12:30
86;3234;0;2558;01:12:30
86;3234;90;4267;01:12:30
86;2558;0;3234;09:51:08
86;3234;50;3225;09:51:08
86;2558;572;3234;09:51:08
86;3234;0;3347;09:51:08
86;3234;38;4214;09:51:08
86;2558;189;3257;09:51:08
86;3225;187;4594;09:51:08
86;3234;0;2558;09:51:08
86;3234;3;3226;09:51:08
86;3234;357;4267;09:51:08
86;2558;0;3234;18:37:09
86;3234;282;3225;18:37:09
86;2558;40;3238;18:37:09
86;3234;0;3347;18:37:09
86;3234;38;4214;18:37:09
86;3225;0;3225;18:37:09
86;3234;0;2558;18:37:09
86;3234;3;3226;18:37:09
86;3234;67;7083;18:37:09
86;2558;0;3234;03:35:35
86;3234;0;3230;03:35:35
86;2558;0;3252;03:35:35
86;3234;38;4214;03:35:35
86;3225;0;3225;03:35:35
86;3234;0;2558;03:35:35
86;3234;149;7083;03:35:35
86;2558;0;3234;12:09:32
86;3234;24;3230;12:09:32
86;2558;0;3252;12:09:32
86;3234;38;4214;12:09:32
86;3225;0;3225;12:09:32
86;3234;0;2558;12:09:32
86;3234;66;4217;12:09:32
86;2558;0;3234;20:52:03
86;3234;68;3230;20:52:03
86;2558;0;3281;20:52:03
86;3234;0;6702;20:52:03
86;3225;0;3225;20:52:03
