"Line","Variance","Speed average","EndTime","From (lat)","From (lon)","To (lat)","To (lon)"
1,0,30.422381739443036,"12",50.848999,4.320948,50.853386,4.322974
1,0,33.829139838269136,"12",50.853386,4.322974,50.857125,4.333143
1,0,45.165303673533,"12",50.857125,4.333143,50.854705,4.340542
1,0,31.40171195418052,"12",50.854705,4.340542,50.8519,4.348012
1,0,27.874853307650298,"12",50.8519,4.348012,50.849821,4.352486
1,0,35.9771847146999,"12",50.849821,4.352486,50.846349,4.358776
1,0,29.755124710099462,"12",50.846349,4.358776,50.845688,4.362979
1,0,29.814798896251954,"12",50.845688,4.362979,50.845333,4.36962
1,0,58.977399340479835,"12",50.845333,4.36962,50.843654,4.377588
1,0,22.930733783764044,"12",50.843654,4.377588,50.842756,4.381829
1,0,38.68065039611816,"12",50.839364,4.398281,50.837806,4.407955
1,0,33.437303672843164,"12",50.837806,4.407955,50.840527,4.414051
1,0,33.725218591139125,"12",50.840527,4.414051,50.842594,4.418967
1,0,37.86526968058755,"12",50.842594,4.418967,50.844833,4.426369
1,0,74.99080187577069,"12",50.844833,4.426369,50.847552,4.436102
1,0,38.96510174943723,"12",50.847552,4.436102,50.847439,4.447303
1,0,41.42030379091979,"12",50.847439,4.447303,50.849991,4.4534
1,0,33.370224328105984,"12",50.849991,4.4534,50.848478,4.458929
1,0,42.933526176065826,"12",50.848478,4.458929,50.841872,4.464541
1,1,49.08350574095994,"12",50.841872,4.464541,50.848796,4.458719
1,1,33.1713104520172,"12",50.848796,4.458719,50.84988,4.453149
1,1,55.443368130692974,"12",50.84988,4.453149,50.847387,4.446705
1,1,40.04743069555575,"12",50.847387,4.446705,50.84753,4.435656
1,1,78.82553488503216,"12",50.84753,4.435656,50.844316,4.425819
1,1,36.827675777854886,"12",50.844316,4.425819,50.842506,4.418288
1,1,29.567044866012345,"12",50.842506,4.418288,50.840366,4.413792
1,1,51.394434103423535,"12",50.840366,4.413792,50.837822,4.407364
1,1,40.25297623719201,"12",50.837822,4.407364,50.839534,4.397696
1,1,48.22490996982773,"12",50.839534,4.397696,50.842972,4.380974
1,1,24.237160871981516,"12",50.842972,4.380974,50.84379,4.377084
1,1,42.33110521717483,"12",50.84379,4.377084,50.845476,4.369121
1,1,28.69421702924907,"12",50.845476,4.369121,50.845628,4.362431
1,1,29.16314414401523,"12",50.845628,4.362431,50.846679,4.358551
1,1,61.53568320371914,"12",50.846679,4.358551,50.850095,4.352165
1,1,26.789089404375378,"12",50.850095,4.352165,50.852347,4.347749
1,1,32.441339030048326,"12",50.852347,4.347749,50.854968,4.340056
1,1,60.01231441982865,"12",50.854968,4.340056,50.857096,4.332019
1,1,41.50457008287033,"12",50.857096,4.332019,50.853111,4.322763
2,0,40.140237009259806,"12",50.86312,4.330479,50.85685,4.325246
2,0,27.912696825673354,"12",50.85685,4.325246,50.85335,4.323113
2,0,31.647257444802506,"12",50.85335,4.323113,50.848922,4.321442
2,0,28.948679388752634,"12",50.848922,4.321442,50.844982,4.324744
2,0,34.16652696021344,"12",50.844982,4.324744,50.84069,4.331467
2,0,34.530566973049474,"12",50.84069,4.331467,50.836258,4.33847
2,0,29.898524080579467,"12",50.836258,4.33847,50.833713,4.343513
2,0,26.367060251196932,"12",50.833713,4.343513,50.833309,4.349219
2,0,29.60508359087477,"12",50.833309,4.349219,50.835176,4.354622
2,0,34.1706587448852,"12",50.835176,4.354622,50.838185,4.361699
2,0,26.673573885683904,"12",50.838185,4.361699,50.841001,4.366499
2,0,33.57558326623292,"12",50.841001,4.366499,50.845585,4.368867
2,0,31.155510798831465,"12",50.845585,4.368867,50.84993,4.369164
2,0,32.488438596124546,"12",50.84993,4.369164,50.854102,4.365272
2,0,32.35401359558874,"12",50.854102,4.365272,50.85556,4.358317
2,0,33.2295710646736,"12",50.85556,4.358317,50.857321,4.351197
2,0,42.562423724088134,"12",50.857321,4.351197,50.860515,4.339486
2,1,33.30579110493035,"12",50.862878,4.331367,50.860406,4.339753
2,1,42.55797736851004,"12",50.860406,4.339753,50.857225,4.351502
2,1,34.074586050394664,"12",50.857225,4.351502,50.855412,4.358416
2,1,32.93248250660496,"12",50.855412,4.358416,50.85399,4.365557
2,1,33.90723340970772,"12",50.85399,4.365557,50.849728,4.369174
2,1,30.288017187763607,"12",50.849728,4.369174,50.84544,4.368744
2,1,34.41365620399005,"12",50.84544,4.368744,50.840813,4.366354
2,1,26.000035932570647,"12",50.840813,4.366354,50.838034,4.361263
2,1,32.87436675980276,"12",50.838034,4.361263,50.835074,4.354268
2,1,29.123203627938803,"12",50.835074,4.354268,50.833236,4.348603
2,1,25.923865888216113,"12",50.833236,4.348603,50.833944,4.343071
2,1,24.683113131468705,"12",50.833944,4.343071,50.836273,4.338161
2,1,32.535019339109,"12",50.836273,4.338161,50.84082,4.331202
2,1,34.01579304511402,"12",50.84082,4.331202,50.845157,4.324325
2,1,26.462424642719558,"12",50.845157,4.324325,50.849014,4.32149
2,1,28.96282088171811,"12",50.849014,4.32149,50.853428,4.322773
2,1,29.39335530431973,"12",50.853428,4.322773,50.857115,4.325218
3,0,20.473066679698004,"12",50.87633,4.36452,50.870759,4.361337
