Line,Variance,From,To,Speed,Time
1,0,8733,8742,29.209876857884755,1.630915011138E12
1,0,8733,8742,28.648525850350765,1.630915687202E12
1,0,8733,8742,28.5575030759886,1.630916260253E12
1,0,8733,8742,29.020790731537463,1.630916985975E12
1,0,8733,8742,29.498883490459797,1.630917549492E12
1,0,8733,8742,29.402386068439114,1.630918340133E12
1,0,8733,8742,28.967607191380456,1.630918873147E12
1,0,8733,8742,29.59649411650767,1.630919318169E12
1,0,8733,8742,29.353903786120227,1.630919696337E12
1,0,8733,8742,58.5045659040873,1.630920139131E12
1,0,8733,8742,28.37630344955662,1.630920585604E12
1,0,8733,8742,29.59649411650767,1.630921026243E12
1,0,8733,8742,28.648973469579076,1.630921471696E12
1,0,8733,8742,30.160732967069116,1.630921942511E12
1,0,8733,8742,28.694704225352115,1.630922386358E12
1,0,8733,8742,28.648525850350765,1.630922926737E12
1,0,8733,8742,29.257417306250098,1.630923300201E12
1,0,8733,8742,19.109467233616808,1.630923753847E12
1,0,8733,8742,29.305581127733024,1.630924639629E12
1,0,8733,8742,27.592307345040858,1.630925210214E12
1,0,8733,8742,28.78705706884371,1.630925585723E12
1,0,8733,8742,30.195003705228487,1.630925993182E12
1,0,8733,8742,29.114795642922925,1.630926432285E12
1,0,8733,8742,29.305112755517904,1.630926895759E12
1,0,8733,8742,29.020790731537463,1.630927333015E12
1,0,8733,8742,29.353903786120227,1.630927808885E12
1,0,8733,8742,60.90452401514648,1.630928218794E12
1,0,8733,8742,29.115257951315556,1.630928757329E12
1,0,8733,8742,28.435271311818617,1.630929141308E12
1,0,8733,8742,29.548322428852288,1.630929595595E12
1,0,8733,8742,20.19040466883224,1.630930101359E12
1,0,8733,8742,28.5575030759886,1.630930485984E12
1,0,8733,8742,28.834136906165963,1.630930956727E12
1,0,8733,8742,28.557947855340622,1.630931842812E12
1,0,8733,8742,28.927390906509324,1.630932293687E12
1,0,8733,8742,28.46661491647519,1.630933641806E12
1,0,8733,8742,28.198256055363323,1.630934125448E12
1,0,8733,8742,28.557947855340622,1.630934835813E12
1,0,8733,8742,27.940869194197244,1.630935951883E12
1,0,8733,8742,28.786153194027975,1.630937013001E12
1,0,8733,8742,18.710309288870295,1.630937555632E12
1,0,8733,8742,28.694704225352115,1.630938071846E12
1,0,8733,8742,27.80401837839477,1.630938611509E12
1,0,8733,8742,27.675183385154103,1.63093921763E12
1,0,8733,8742,29.11572027439024,1.630939957486E12
1,0,8733,8742,56.4859862604356,1.630940497041E12
1,0,8733,8742,53.737920928460476,1.630941139407E12
1,0,8733,8742,54.425396260017806,1.630941677732E12
1,0,8733,8742,19.698458365115002,1.630942250567E12
1,0,8733,8742,29.498883490459797,1.630942851665E12
1,0,8733,8742,29.06771718452758,1.630943486453E12
1,0,8733,8742,28.926478197766137,1.630944159133E12
1,0,8733,8742,29.06771718452758,1.630944765766E12
1,0,8733,8742,29.209876857884755,1.630945403428E12
1,0,8733,8742,29.325266289223684,1.630945972788E12
1,0,8733,8742,29.020331418261236,1.630946568464E12
1,0,8733,8742,26.76502547184959,1.630947241659E12
1,0,8733,8742,28.197822409497736,1.630947848497E12
1,0,8733,8742,28.973557715098362,1.630948457382E12
1,0,8733,8742,28.315393168200632,1.630949164199E12
1,0,8733,8742,29.06771718452758,1.630949802638E12
1,0,8733,8742,28.109636670243752,1.630950407833E12
1,0,8733,8742,29.162490656063618,1.630951043543E12
1,0,8733,8742,28.6982971264008,1.630951969457E12
1,0,8733,8742,29.45055573401863,1.63095250348E12
1,0,8733,8742,29.16620166382999,1.630953106104E12
1,0,8733,8742,29.547846265409717,1.630953701885E12
1,0,8733,8742,29.06771718452758,1.63095489692E12
1,0,8733,8742,29.305581127733024,1.630955492083E12
1,0,8733,8742,28.603388244103332,1.630956088679E12
1,0,8733,8742,29.6947528664896,1.630957303576E12
1,0,8733,8742,28.467498835584536,1.630957900271E12
1,0,8733,8742,28.154092772582796,1.630958578272E12
1,0,8733,8742,29.30604951492,1.630959112089E12
1,0,8733,8742,29.35437371926229,1.630959711136E12
1,0,8733,8742,29.35437371926229,1.630960303321E12
1,0,8733,8742,30.195500955141295,1.630960911379E12
1,0,8733,8742,29.7438860591117,1.630961536024E12
1,0,8733,8742,29.943033509700175,1.630962878605E12
1,0,8733,8742,29.992992442830502,1.630963880605E12
1,0,8733,8742,29.45055573401863,1.630965098674E12
1,0,8733,8742,20.141611468116658,1.630966340812E12
1,0,8733,8742,29.498408919062403,1.630985900957E12
1,0,8733,8742,55.343684162868605,1.630987894119E12
1,0,8733,8742,29.547370117313392,1.630988456921E12
1,0,8733,8742,29.305581127733024,1.630989116493E12
1,0,8733,8742,29.645302420332737,1.630989650214E12
1,0,8733,8742,28.60383445392571,1.630990248959E12
1,0,8733,8742,27.890718262298076,1.630991010114E12
1,0,8733,8742,28.286999583468322,1.630991494681E12
1,0,8733,8742,29.942544540065647,1.63099213623E12
1,0,8733,8742,27.420652320208166,1.630992785766E12
1,0,8733,8742,28.15366048397003,1.630993338532E12
1,0,8733,8742,29.020790731537463,1.630993975064E12
1,0,8733,8742,28.78750902753791,1.63099459337E12
1,0,8733,8742,29.401914596796175,1.63099523523E12
1,0,8733,8742,29.59649411650767,1.63099590812E12
1,0,8733,8742,27.760660105980314,1.630996464679E12
1,0,8733,8742,27.420652320208166,1.630997081044E12
1,0,8733,8742,29.7438860591117,1.630997678671E12
1,0,8733,8742,29.305581127733024,1.630998380231E12
1,0,8742,8292,33.732901082946334,1.630936083896E12
1,0,8742,8292,33.905532399772106,1.630947341706E12
1,0,8742,8292,34.150274841437636,1.630948556712E12
1,0,8742,8292,33.52785102892047,1.630994726391E12
1,0,8292,8282,33.75079071358597,1.630915202427E12
1,0,8292,8282,65.82397040092195,1.630915876546E12
1,0,8292,8282,70.18300459160578,1.630916418158E12
1,0,8292,8282,71.36449003748274,1.630917141933E12
1,0,8292,8282,34.7471319939166,1.630917707395E12
1,0,8292,8282,34.86098199514946,1.63091853265E12
1,0,8292,8282,71.12828445027037,1.630919034005E12
1,0,8292,8282,67.28708807390646,1.630919478427E12
1,0,8292,8282,71.36683655015948,1.630919854037E12
1,0,8292,8282,34.02165619072998,1.630920327649E12
1,0,8292,8282,67.07291718170582,1.630920744841E12
1,0,8292,8282,71.60463182897863,1.630921181691E12
1,0,8292,8282,34.18562630924068,1.6309216593E12
1,0,8292,8282,65.62098198089251,1.630922102598E12
1,0,8292,8282,35.924386772153994,1.630922540781E12
1,0,8292,8282,35.32566648221087,1.630923112905E12
1,0,8292,8282,33.64354403695323,1.630923460667E12
1,0,8292,8282,33.16950302585733,1.630923914825E12
1,0,8292,8282,69.49092655439586,1.630924356693E12
1,0,8292,8282,32.86115972747918,1.630924829483E12
1,0,8292,8282,35.98573489181796,1.630925393514E12
1,0,8292,8282,68.15334568405187,1.630925746596E12
1,0,8292,8282,34.18670320842981,1.630926149039E12
1,0,8292,8282,35.86146983015003,1.630926618969E12
1,0,8292,8282,34.633470560076596,1.630927052433E12
1,0,8292,8282,33.69734362143113,1.630927524508E12
1,0,8292,8282,67.28917410714287,1.630927967499E12
1,0,8292,8282,69.04000254469115,1.63092837547E12
1,0,8292,8282,33.86400599120043,1.630928947081E12
1,0,8292,8282,33.801248968277456,1.630929304984E12
1,0,8292,8282,68.15334568405187,1.630929756673E12
1,0,8292,8282,67.92938157235855,1.63093025947E12
1,0,8292,8282,71.85828836285384,1.630930641637E12
1,0,8292,8282,34.13133098502957,1.630931148424E12
1,0,8292,8282,33.537494978213175,1.63093200133E12
1,0,8292,8282,67.28917410714287,1.630932453331E12
1,0,8292,8282,34.18670320842981,1.630933801244E12
1,0,8292,8282,69.04000254469115,1.630934284377E12
1,0,8292,8282,67.07498995642635,1.630935629944E12
1,0,8292,8282,33.53697677652622,1.630936148615E12
1,0,8292,8282,33.858723324597534,1.630937201625E12
1,0,8292,8282,33.221796029571586,1.630937716406E12
1,0,8292,8282,34.689930955120836,1.63093826211E12
1,0,8292,8282,33.858723324597534,1.630938801773E12
1,0,8292,8282,65.62098198089251,1.630939378505E12
1,0,8292,8282,67.50263108788954,1.630940115902E12
1,0,8292,8282,67.51522956326988,1.630940657505E12
1,0,8292,8282,33.37915570934257,1.630941327723E12
1,0,8292,8282,33.64354403695323,1.630941902914E12
1,0,8292,8282,33.644065537178555,1.63094240929E12
1,0,8292,8282,33.69734362143113,1.630943040084E12
1,0,8292,8282,33.804934118306704,1.630943646302E12
1,0,8292,8282,34.021122919213774,1.630944317858E12
1,0,8292,8282,34.35281567535058,1.630944957361E12
1,0,8292,8282,34.57664282414414,1.630945594716E12
1,0,8292,8282,34.464639471553106,1.63094612762E12
1,0,8292,8282,66.86422476202213,1.630946729543E12
1,0,8292,8282,34.976144127884496,1.630947403762E12
1,0,8292,8282,34.57664282414414,1.630948071222E12
1,0,8292,8282,32.5584963398536,1.630948623376E12
1,0,8292,8282,34.241174985801734,1.630949355142E12
1,0,8292,8282,71.12595359811247,1.630949960337E12
1,0,8292,8282,34.241715178191114,1.63095059615E12
1,0,8292,8282,33.858723324597534,1.630951204826E12
1,0,8292,8282,69.49537653688525,1.630952126745E12
1,0,8292,8282,34.35281567535058,1.630952694561E12
1,0,8292,8282,33.96734847180708,1.630953293405E12
1,0,8292,8282,34.689930955120836,1.630953859482E12
1,0,8292,8282,34.633470560076596,1.630954642757E12
1,0,8292,8282,67.07498995642635,1.630955052981E12
1,0,8292,8282,70.4998733231559,1.630955679034E12
1,0,8292,8282,34.408909462737206,1.630956279863E12
1,0,8292,8282,34.35281567535058,1.630956926839E12
1,0,8292,8282,34.86154192097655,1.63095746107E12
1,0,8292,8282,35.743356827613475,1.630958055717E12
1,0,8292,8282,66.44460907365458,1.6309587074E12
1,0,8292,8282,33.804934118306704,1.630959299688E12
1,0,8292,8282,35.989911786164356,1.630960486107E12
1,0,8292,8282,71.12828445027037,1.630961063239E12
1,0,8292,8282,34.18670320842981,1.630961722701E12
1,0,8292,8282,34.18670320842981,1.63096303661E12
1,0,8292,8282,34.13133098502957,1.630964066976E12
